Time,	Flavour, 	TSS,	Acid,	%Juice,	Bite,	Weigt,tDMC_fruit
2020-02-19,74,7.9,15.0,58,187,7.77,	nan
2020-03-04,73,7.9,14.4,63,217,8.9,	nan
2020-03-18,76,8.7,15.8,55,284,7.47,	9.59
2020-04-01,79,9.2,13.4,62,214,9.1,	8.79
2020-04-15,73,8.6,12.1,58,238,10.1,	8.74
2020-04-29,71,8.3,10.7,62,219,11.3,	8.14
2020-05-13,78,9.0,10.9,67,185,14.63,	9.32
2020-05-29,73,8.1,11.0,59,166,13.2,	9.47
