Time,Flavour ,TSS,Acid,%Juice,Bite,Weight,DMC_fruit
2020-02-19,77,8.0,14.5,66,179,8.97,
2020-03-04,77,8.6,14.5,63,274,8.8,
2020-03-18,73,8.4,14.0,56,315,10.0,8.19
2020-04-01,79,9.2,14.4,60,382,9.1,9.31
2020-04-15,80,9.3,14.5,61,288,8.5,9.46
2020-04-29,77,9.0,13.0,61,300,9.9,8.75
2020-05-13,82,9.6,13.2,66,238,9.97,8.87
2020-05-29,72,8.2,11.8,64,201,11.6,9.33
