Time,Heat_cons,ElecHigh,ElecLow,CO2_cons,Irr,Drain
2020-03-27,2.57,1.5,0.8,0.102,5.76,1.97
2020-03-28,2.64,0.9,0.8,0.098,6.0,2.76
2020-03-29,3.12,0.8,0.7,0.096,6.24,2.57
2020-03-30,2.51,1.5,0.7,0.068,5.76,2.83
2020-03-31,2.52,0.9,0.8,0.084,5.28,1.77
2020-04-01,2.36,1.6,0.7,0.055,4.56,1.22
2020-04-02,2.01,1.6,0.7,0.083,4.08,1.41
2020-04-03,2.04,1.4,0.7,0.093,5.16,2.4
2020-04-04,2.05,0.8,0.7,0.085,7.2,3.73
2020-04-05,1.66,0.8,0.7,0.1,7.2,3.08
2020-04-06,1.61,0.8,0.7,0.099,6.84,2.56
2020-04-07,1.48,0.6,0.7,0.098,6.12,2.92
2020-04-08,1.46,0.5,0.7,0.074,6.48,3.09
2020-04-09,1.47,0.6,0.7,0.098,6.84,3.07
2020-04-10,1.5,0.5,0.7,0.104,7.92,3.69
2020-04-11,0.53,0.5,0.6,0.094,7.56,4.09
2020-04-12,0.53,0.5,0.6,0.084,7.2,3.5
2020-04-13,0.99,0.5,0.6,0.08,6.84,3.12
2020-04-14,1.15,1.7,0.6,0.073,6.48,2.69
2020-04-15,0.89,0.5,0.6,0.088,7.56,3.15
2020-04-16,0.65,0.5,0.6,0.097,7.56,2.67
2020-04-17,0.66,0.5,0.6,0.112,9.36,3.88
2020-04-18,0.63,1.9,0.6,0.075,5.76,2.09
2020-04-19,0.6,0.4,0.4,0.109,7.92,1.95
2020-04-20,0.61,0.4,0.6,0.123,8.28,2.61
2020-04-21,0.53,0.4,0.6,0.134,9.0,3.71
2020-04-22,0.46,0.4,0.6,0.132,8.28,1.82
2020-04-23,0.44,0.4,0.6,0.107,10.44,2.39
2020-04-24,0.62,0.4,0.6,0.108,7.92,1.3
2020-04-25,0.78,1.0,0.6,0.079,9.72,2.14
2020-04-26,0.83,0.4,0.6,0.08,8.28,3.05
2020-04-27,0.68,0.4,0.6,0.104,8.28,3.12
2020-04-28,0.91,1.9,0.6,0.054,5.76,2.44
2020-04-29,0.59,1.8,0.6,0.105,7.2,3.34
2020-04-30,0.61,1.3,0.6,0.125,6.84,3.55
2020-05-01,0.73,1.8,0.6,0.119,7.56,4.61
2020-05-02,0.58,0.7,0.6,0.127,8.64,5.5
2020-05-03,0.57,0.8,0.4,0.073,6.84,4.22
2020-05-04,0.58,0.3,0.4,0.101,7.2,3.83
2020-05-05,0.82,0.2,0.4,0.099,7.92,4.52
2020-05-06,0.78,0.1,0.4,0.08,7.56,3.76
2020-05-07,0.68,0.2,0.4,0.06,8.64,4.65
2020-05-08,0.48,0.3,0.4,0.056,6.48,2.88
2020-05-09,0.46,0.0,0.0,0.07,6.48,2.51
2020-05-10,0.95,0.0,0.0,0.056,6.12,3.03
2020-05-11,1.39,0.0,0.0,0.081,5.76,2.77
2020-05-12,0.85,0.0,0.0,0.049,5.4,2.76
2020-05-13,1.12,0.0,0.0,0.047,5.4,3.44
2020-05-14,1.27,0.0,0.0,0.061,7.2,4.98
2020-05-15,1.12,0.0,0.0,0.062,6.12,2.98
2020-05-16,0.64,0.0,0.0,0.052,5.04,2.33
2020-05-17,0.49,0.0,0.0,0.074,4.68,1.33
2020-05-18,0.43,0.0,0.0,0.076,5.4,2.04
2020-05-19,0.42,0.0,0.0,0.067,5.4,2.46
2020-05-20,0.39,0.0,0.0,0.054,4.68,1.94
2020-05-21,0.37,0.0,0.0,0.064,5.4,2.25
2020-05-22,0.37,0.0,0.0,0.065,4.68,2.08
2020-05-23,0.42,0.0,0.0,0.09,4.68,1.94
2020-05-24,0.92,0.0,0.0,0.036,3.96,2.65
2020-05-25,0.43,0.0,0.0,0.065,5.4,2.9
2020-05-26,0.42,0.0,0.0,0.061,5.4,2.69
2020-05-27,0.44,0.0,0.0,0.088,5.4,2.33
2020-05-28,0.98,0.0,0.0,0.101,5.76,2.94
2020-05-29,1.1,0.0,0.0,0.097,4.68,1.55
