Time,Flavour ,TSS,Acid,%Juice,Bite,Weight,DMC_fruit
2020-02-19,78,8.6,13.3,68,193,9.5,
2020-03-04,78,8.7,14.8,61,193,9.4,
2020-03-18,73,8.4,13.9,56,317,10.1,8.77
2020-04-01,84,9.9,14.9,60,263,8.8,9.85
2020-04-15,78,9.3,14.0,55,298,8.8,10.21
2020-04-29,80,9.0,12.6,68,190,10.3,9.41
2020-05-13,88,9.7,12.4,69,148,10.87,9.62
2020-05-29,65,7.3,9.6,57,182,14.3,8.92
