Time,Flavour ,TSS,Acid,%Juice,Bite,Weight,DMC_fruit
2020-02-19,80,9.0,14.5,67,219,9.0, NaN
2020-03-04,74,8.3,13.6,60,277,10.1,
2020-03-18,71,8.3,12.1,53,285,11.4,8.73
2020-04-01,76,8.9,13.3,58,334,10.0,9.07
2020-04-15,73,8.9,12.5,51,290,11.0,8.71
2020-04-29,77,8.9,13.3,62,265,10.3,9.25
2020-05-13,79,9.13,12.1,64,188,11.13,8.88
2020-05-29,72,8.1,10.7,57,175,16.8,8.96
